id,region_id,tipo_delegacion_id,nomenclatura_id,num_delegacional,clave_delegacion,nivel_id,sede_delegacional,fecha_inicio_delegacional,fecha_final_delegacional,direccion_delegacional,cp_delegacional,ciudad_delegacional,estado_delegacional
2,1,1,2,59,D-II-59,36,PANUCO,08/02/2023,08/02/2025,VENUSTIANO CARRANZA,93990,PÁNUCO,VERACRUZ
3,2,1,3,13,D-III-13,19,TUXPAN,10/02/2023,10/02/2026,CUAUHTEMOC 56 COLONIA DEL VALLE,92860,TUXPAN,VERACRUZ
4,2,1,2,20,D-II-20,39,TUXPAN,44971,46067,AV. CUAUHTEMOC NUM. 57 COLONIA DEL VALLE,92,TUXPAN,VERACRUZ
5,4,1,1,77,D-I-77,35,JUCHIQUE DE FERRER,44967,46063,MIGUEL HIDALGO,91440,JUCHIQUE DE FERRER,VERACRUZ
6,2,1,1,94,D-I-94,35,TAMIAHUA,44970,46066,AV. MIGUEL HIDALGO NO. 45 ZONA SUR,92560,TAMIAHUA,VERACRUZ
7,6,1,1,08,D-I-08,35,CARDEL,44964,46060,ENRIQUE C. RÉBSAMEN #55 COL. MAGISTERIAL,91653,JOSÉ CARDEL,VERACRUZ
8,2,1,1,09,D-I-09,35,CERRO AZUL,44967,46063,CARRETERA CERRO AZUL LOC. LA MORA,92540,CERRO AZUL,VERACRUZ
9,2,1,2,22,D-II-22,39,NARANJOS,44971,46067,CALLE CHONTLA  S/N. FRACCIONAMIENTO NUEVO NARANJOS,92310,NARANJOS AMATLÁN,VERACRUZ
10,7,1,2,31,D-II-31,39,COSCOMATEPEC,44972,46068,PRIVADA 2 NORTE SN,94470,FORTÍN,VERACRUZ
11,1,1,2,35,D-II-35,39,TANTOYUCA,44974,46070,"AV. REVOLUCIÓN S/N, COL. 10 DE MAYO",92122,TANTOYUCA,VERACRUZ
12,2,1,2,53,D-II-53,22,TUXPAN,44971,46067,"CUAUHTEMOC  #56, COL DEL VALLE",92800,TUXPAN,VERACRUZ
13,2,1,1,57,D-I-57,35,TUXPAN,44967,46063,AV. CUAUHTEMOC NO. 56 COL. DEL VALLE,92870,TUXPAN,VERACRUZ
14,2,1,1,35,D-I-35,35,NARANJOS,44967,46063,"CHONTLA S/N FRACCIONAMIENTO NUEVO NARANJOS, NARANJOS.",92310,NARANJOS AMATLÁN,VERACRUZ
15,2,1,1,19,D-I-19,35,CHONTLA,44972,46068,CALLE LIBERTAD S/N,92200,CHONTLA,VERACRUZ
16,2,1,1,38,D-I-38,35,OZULUAMA,44970,46066,"PASEO DEL VICHÍN S/N, ZONA CENTRO",92080,OZULUAMA,VERACRUZ
17,1,1,1,71,D-I-71,35,BENITO JUAREZ,44972,46068,"CALLE HIDALGO S/N, COL. CENTRO",92661,BENITO JUAREZ,VERACRUZ
18,2,1,1,80,D-I-80,34,TUXPAN,44970,46066,"AV. CUAUHTEMOC 57, COLONIA DEL VALLE",92875,TUXPAN,VERACRUZ
19,1,1,2,50,D-II-50,39,TEMPOAL,44974,45705,REPSAMEN # 4 COLONIA LA COBACHA,92065,TEMPOAL,VERACRUZ
20,4,1,2,34,D-II-34,39,MISANTLA,44970,46066,"C. DEL  POCITO S/N, ESQ. MANUEL RIVERA COL. 20 DE NOVIEMBRE",93821,MISANTLA,VERACRUZ
21,5,1,1,60,D-I-60,34,XALAPA,44974,46070,XANATI 72 MARCO ANTONIO MUÑOZ,91916,XALAPA,VERACRUZ
22,6,1,1,43,D-I-43,35,PIEDRAS NEGRAS,44966,46062,"COL. CENTRO PIEDRAS NEGRAS, TLALIXCOYAN.",95226,PIEDRAS NEGRAS,VERACRUZ
23,4,1,1,93,D-I-93,35,VEGA DE LA TORRE,44967,46063,IGNACIO ZARAGOZA 206 COLONIA CENTRO,93960,VEGA DE ALATORRE,VERACRUZ
24,4,1,3,15,D-III-15,19,MARTINEZ DE LA TORRE,44970,46066,RIVERA DEL RIO NO. 103 COLONIA EL MIRADOR,93600,MARTINEZ DE LA TORRE,VERACRUZ
25,9,1,2,12,D-II-12,37,TLACOTALPAN,44966,46062,PROLONGACIÓN JOSÉ MARÍA IGLESIAS S/N  COL. SAHOP,95460,TLACOTALPAN,VERACRUZ
26,4,1,1,74,D-I-74,35,TLAPACOYAN,44970,46065,PROLONGACIÓN ABASOLO S/N COL. MANUEL ALBERTO FERRER,93650,TLAPACOYAN,VERACRUZ
27,4,1,2,32,D-II-32,39,MARTINEZ DE LA TORRE,44970,46066,"RIBERA RÍO BOBOS NO. 103, COL. MIRADOR",93607,MARTÍNEZ DE LA TORRE,VERACRUZ
28,4,1,2,42,D-II-42,40,MARTINEZ DE LA TORRE,44970,46066,"EDIFICIO SINDICAL SITIO RIO BOBOS #109, COL. EL MIRADOR",93600,MARTÍNEZ DE LA TORRE,VERACRUZ
29,1,1,2,37,D-II-37,40,TANTOYUCA,44964,46059,EDIFICIO SINDICAL AV.REVOLUCIÓN S/N COLONIA 10 DE MAYO,92100,TANTOYUCA,VERACRUZ
30,4,1,2,48,D-II-48,39,SAN RAFAEL,44967,46063,DOMICILIO CONOCIDO. COLONIA CENTRO,93620,SAN RAFAEL,VERACRUZ
31,4,1,1,30,D-I-30,35,MARTINEZ DE LA TORRE,44967,46063,RIVERA DEL RIÓ #103 COL. MIRADOR,93600,MARTINEZ DE LA TORRE,VERACRUZ
32,4,1,1,33,D-I-33,35,MISANTLA,44967,46063,CALLE POSITO S/N COL. 20 DE NOVIEMBRE,93821,MISANTLA,VERACRUZ
33,9,1,2,14,D-II-14,6,ALVARADO,44968,46064,PARQUE 15 DE OCTUBRE,95270,ALVARADO,VERACRUZ
34,6,1,1,58,D-I-58,35,VERACRUZ,44972,46068,MIGUEL HIDALGO 515 COL. CENTRO,91700,VERACRUZ,VERACRUZ
35,6,1,3,18,D-III-18,19,CARDEL,44966,46062,AVENIDA ROBLES 37 COL GRAL. VICENTE GUERRERO,91680,CARDEL,VERACRUZ
36,9,1,1,79,D-I-79,34,ALVARADO,44965,46061,PARQUE 15 DE OCTUBRE S/N CENTRO,95270,ALVARADO,VERACRUZ
37,7,1,1,23,D-I-23,35,HUATUSCO,44964,46060,CALLE 11 SUR S/N ENTRE AV 7 Y 9,94100,HUATUSCO DE CHICUELLAR,VERACRUZ
38,5,1,2,58,D-II-58,39,XALAPA,44970,46125,,0,XALAPA,VERACRUZ
39,7,1,1,66,D-I-66,27,CORDOBA,44970,46066,FRACCIONAMIENTO VISTA HERMOSA  AV NARDO #3520  ENTRE CALLES TULIPÁN Y JAZMÍN,94677,CÓRDOBA,VERACRUZ
40,4,1,1,88,D-I-88,34,MARTINEZ DE LA TORRE,44967,46063,RIVERA DEL RIO  NO.103 EL MIRADOR,93600,MARTINEZ DE LA TORRE,VERACRUZ
41,8,1,1,78,D-I-78,34,ORIZABA,44967,46063,SUR 6 331,94370,ORIZABA,VERACRUZ
42,10,1,1,48,D-I-48,35,SAN ANDRES TUXTLA,44967,46059,ARTIGAS 287,95700,SAN ANDRÉS TUXTLA,VERACRUZ
43,7,1,1,36,D-I-36,35,OMEALCA,44966,46062,CALLE JOSE MARIA MORELOS,94900,OMEALCA,VERACRUZ
44,7,1,1,14,D-I-14,30,CORDOBA,44965,46061,"CALLE 21, ENTRE AVENIDA 11 Y 9 COLONIA HUILANGO",94640,CÓRDOBA,VERACRUZ
45,10,1,1,25,D-I-25,35,ISLA,44970,44974,NARCISO MENDOZA SUR 117 COL. MARIANO AGUIRRE USCANGA,95645,ISLA,VERACRUZ
46,9,1,2,29,D-II-29,32,TLACOTALPAN,44966,46062,PROLONGACIÓN VENUSTIANO CARRANZA S/N,95460,TLACOTALPAN,VERACRUZ
47,10,1,2,16,D-II-16,39,SAN ANDRES TUXTLA,44967,46063,"CALLE DR.  ARTIGAS # 297, COLONIA CENTRO",95700,SAN ANDRÉS TUXTLA,VERACRUZ
48,5,1,1,84,D-I-84,38,XALAPA,44970,46066,SEASTIAN CAMACHO 59,91000,XALAPA,VERACRUZ
49,10,1,1,45,D-I-45,35,PLAYA VICENTE,44970,46066,JUAN DE LA LUZ ENRIQUEZ S/N. COL. LAS PALMAS,95600,PLAYA VICENTE,VERACRUZ
50,10,1,2,28,D-II-28,39,ISLA,44970,46066,C. LUIS DONALDO COLOSIO,95674,EL BLANCO,VERACRUZ
51,9,1,2,10,D-II-10,37,ALVARADO,44964,46060,NETZAHULCOYOTL,95270,ALVARADO,VERACRUZ
52,9,1,1,63,D-I-63,34,COSAMALOAPAN,44965,46061,NICOLAS BRAVO S/N,95390,COSAMALOAPAN,VERACRUZ
53,10,1,1,29,D-I-29,35,LERDO DE TEJADA,44970,46066,"GUADALUPE VICTORIA #12, COL. CENTRO",95280,LERDO DE TEJADA,VERACRUZ
54,10,1,1,89,D-I-89,34,ISLA,44970,46066,GUADALUPE VICTORIA S/N,95640,ISLA,VERACRUZ
55,10,1,2,51,D-II-51,39,SANTIAGO TUXTLA,44967,46063,"CALLE 25 DE OCTUBRE S/N, BARRIO SUR",95841,ANGEL R. CABADA,VERACRUZ
56,10,1,1,68,D-I-68,35,SANTIAGO TUXTLA,44967,46063,MAGDA MORENO DE CARVAJAL COL. BARRIO BUENA VISTA,95830,SANTIAGO TUXTLA,VERACRUZ
57,8,1,1,37,D-I-37,35,IXTACZOQUITLAN,44966,46062,"NORTE 2, EDIFICIO PARROQUIA 2° PISO DEPT. 4, COL. CENTRO",94300,ORIZABA,VERACRUZ
58,5,1,3,04,D-III-04,1,XALAPA,44966,46062,MANUEL DE BOZA 38,91030,DEL MAESTRO,VERACRUZ
59,5,1,2,21,D-II-21,39,XALAPA,44972,46068,"GOBERNADOR EMPARAN NO. 55 ESQUINA PRIMAVERA, COLONIA TATAHUICAPAN",91060,XALAPA,VERACRUZ
60,7,1,2,09,D-II-09,24,CORDOBA,44964,44964,AVENIDA 11 NO. 2800 COLONIA LOS MAESTROS,94550,CÓRDOBA,VERACRUZ
61,5,1,2,46,D-II-46,39,XALAPA,44964,46059,CALLE JOSÉ EMPARAN  NO. 55 ESQUINA CALLLE PRIMAVERA,91060,XALAPA,VERACRUZ
62,10,1,1,41,D-I-41,34,SAN ANDRES TUXTLA,44967,46063,CALLE DOCTOR RAFAEL ARTIGAS  NO 297. COLONIA CENTRO.,95710,SAN ANDRÉS TUXTLA,VERACRUZ
63,8,1,1,65,D-I-65,35,ZONGOLICA,44967,46063,"ZONGOLICA,VER",95000,ZONGOLICA,VERACRUZ
64,8,1,1,55,D-I-55,35,SAN JUAN TEXHUACAN,44970,46066,SAN JUAN TEXHUACAN,95070,TEXHUACAN,VERACRUZ
65,8,1,1,10,D-I-10,35,CIUDAD MENDOZA,44967,46063,IGNACIO ZARAGOZA   NO.7      ENTRE MARTIRES DE CHICAGO Y RAFAEL DELGADO    COL. AGUILA,94740,MENDOZA,VERACRUZ
66,8,1,1,54,D-I-54,35,TEQUILA,44970,46066,AV. INSURGENTES S/N COL. CENTRO,94840,TEQUILA,VERACRUZ
67,5,1,3,01,D-III-01,31,XALAPA,44966,46062,"CALLE XANATI 8, COL ELECTRICISTAS",91060,XALAPA,VERACRUZ
68,7,1,3,11,D-III-11,19,CORDOBA,44964,46425,AV. LOS PINOS #62A SHANGRILA SANTA LETICIA,94470,FORTIN DE LAS FLORES,VERACRUZ
69,5,1,1,05,D-I-05,35,ALTOTONGA,44966,46062,"PROLONGACION DE ALLENDE NO. 101, BARRIO DE ATALPAS",93700,ALTOTONGA,VERACRUZ
70,5,1,1,92,D-I-92,20,XALAPA,44965,46061,,0,,VERACRUZ
71,1,1,1,90,D-I-90,34,TANTOYUCA,44965,46061,,92101,TANTOYUCA,VERACRUZ
72,1,1,1,87,D-I-87,35,IXCATEPEC,44972,46066,C. VICENTE GUERRERO SIN NUMERO. PRIMERA SECCIÓN.,92270,IXCATEPEC,VERACRUZ
73,8,1,2,17,D-II-17,40,ORIZABA,44966,46062,CALLE FRESNO #108 COL. PRADO,94740,CAMERINO Z. MENDOZA,VERACRUZ
74,8,1,2,26,D-II-26,39,ORIZABA,44972,46069,"NORTE2 #192, DEPARTAMENTO 4, OFICINA 2B, COLONIA: CENTRO",94300,ORIZABA,VERACRUZ
75,8,1,1,03,D-I-03,35,ACULTZINGO,44967,46063,SALVADOR GONZALO GARCÍA 1205. COL. SIDAR.,94745,CD. MENDOZA,VERACRUZ
76,9,1,2,27,D-II-27,39,TIERRA BLANCA,44972,46068,CALLE MORELOS ESQUINA AGRARISTA. COL. HOJA DEL MAÍZ.,95110,TIERRA BLANCA,VERACRUZ
77,8,1,3,05,D-III-05,19,ORIZABA,44970,46066,,0,,VERACRUZ
78,1,1,1,91,D-I-91,34,PANUCO,44966,46062,CALLE AYUNTAMIENTO COL. BURÓCRATA,93998,PÁNUCO,VERACRUZ
79,1,1,1,44,D-I-44,35,PLATON SANCHEZ,44964,46060,,93148,PLATON SÁNCHEZ,VERACRUZ
80,5,1,3,16,D-III-16,19,COATEPEC,44966,46062,JUAN SOTO #88,91270,COATEPEC,VERACRUZ
81,7,1,1,64,D-I-64,34,CORDOBA,44964,46060,AVENIDA 10 PRIVADA CALLES 20 Y 16,94510,CÓRDOBA,VERACRUZ
82,5,1,2,38,D-II-38,40,XALAPA,44964,46060,,0,XALAPA,VERACRUZ
83,5,1,2,13,D-II-13,32,XALAPA,44967,46063,AV.XALAPA S/N,91010,XALAPA,VERACRUZ
84,1,1,1,51,D-I-51,35,TANTOYUCA,44965,46061,REVOLUCIÓN ESQ. CON CARRETERA NACIONAL MEXICO-TUXPAN COL. REFORMA,92101,TANTOYUCA,VERACRUZ
85,5,1,2,15,D-II-15,15,XALAPA,44964,46060,BENITO JUÁREZ 57,91000,XALAPA,VERACRUZ
86,1,1,1,52,D-I-52,35,TEMPOAL,44964,46060,CLLE.URSULO GALVAN ESQ.AV.5 DE MAYO S/N COLONIA 20 DE NOVIEMBRE,92061,TEMPOAL,VERACRUZ
87,5,1,3,08,D-III-08,4,XALAPA,44967,46062,PASAJE REVOLUCIÓN ALTOS S/N,91000,XALAPA,VERACRUZ
88,5,1,2,24,D-II-24,42,XALAPA,44966,46062,"AV. JUSTINO SARMIENTO S/N, ENTRE AV. AMÉRICAS Y CALLE PICO DE ORIZABA. COLONIA LADERA DEL MACUILTEPETL",91133,XALAPA,VERACRUZ
89,6,1,1,07,D-I-07,35,BOCA DEL RIO,44964,46060,CALLE ELECTRICISTAS NO. 244,91918,VERACRUZ,VERACRUZ
90,1,1,1,39,D-I-39,35,PANUCO,44965,46061,COL. BUROCRATA CALLE AYUNTAMIENTO,93998,PÁNUCO,VERACRUZ
91,1,1,3,17,D-III-17,19,TANTOYUCA,44964,46060,CALLE NIÑOS HÉROES 413,92127,TANTOYUCA,VERACRUZ
92,9,1,2,43,D-II-43,6,ALVARADO,44964,46059,NEZAHUALCÓYOTL 8,95270,ALVARADO,VERACRUZ
93,9,1,1,06,D-I-06,35,ALVARADO,44964,46060,PARQUE 15 DE OCTUBRE COL CENTRO,95270,ALVARADO,VERACRUZ
94,5,1,2,03,D-II-03,7,XALAPA,44971,46067,AV. ADOLFO RUIZ CORTINES 2901 COL. UNIDAD MAGISTERIAL,91010,XALAPA,VERACRUZ
95,9,1,1,56,D-I-56,35,TIERRA BLANCA,44966,46062,CALLE MORELOS ESQUINA AGRARISTA. COL. HOJA DEL MAÍZ.,95110,TIERRA BLANCA,VERACRUZ
96,5,1,1,81,D-I-81,34,COATEPEC,44970,46066,JUAN SOTO # 88,91500,COATEPEC,VERACRUZ
97,5,1,1,61,D-I-61,30,XALAPA,44971,46067,"CALLE JOSE MARIA PINO SUÁREZ NO. 5, ZONA CENTRO.",91000,XALAPA,VERACRUZ
98,1,1,1,72,D-I-72,35,PUEBLO VIEJO,44964,46060,,0,,VERACRUZ
99,5,1,1,53,D-I-53,35,TEOCELO,44967,46063,MATAMOROS 4,91615,TEOCELO,VERACRUZ
100,5,1,3,03,D-III-03,2,XALAPA,44967,46063,SEBASTIAN CAMACHO NO. 59,91000,XALAPA,VERACRUZ
101,5,1,1,11,D-I-11,35,COATEPEC,44965,46061,JUAN SOTO #88 COL. CENTRO,91500,COATEPEC,VERACRUZ
102,5,1,1,34,D-I-34,35,NAOLINCO,44964,46119,MORELOS # 18 COL. CENTRO,91400,NAOLINCO,VERACRUZ
103,5,1,3,24,D-III-24,3,XALAPA,44965,46062,MURILLO VIDAL S/N,91000,XALAPA,VERACRUZ
104,5,1,1,75,D-I-75,35,CARRIZAL,44967,46063,,91630,VILLA EMIIANO ZAPATA (CARRIZAL),VERACRUZ
105,5,1,3,23,D-III-23,19,XALAPA,44965,46060,"JOSÉ MA. PINO SUÁREZ 4, COLONIA CENTRO",91000,XALAPA,VERACRUZ
106,5,1,1,20,D-I-20,35,EMILIANO ZAPATA,44967,46063,EDIFICIO XANATI S/N MARCO ANTONIO MUÑOZ,91060,XALAPA,VERACRUZ
107,5,1,2,04,D-II-04,14,XALAPA,44965,46061,,,,
108,5,2,4,18,D-IV-18,29,ALTOTONGA,44964,46060,PROLONGACION IGNACIO ALLENDE  NO 5,93700,ALTOTONGA,VERACRUZ
109,2,2,4,09,D-IV-09,29,TUXPAN,45009,46105,CUAUHTÉMOC # 56 COL. DEL VALLE,92875,TUXPAN,VERACRUZ
110,4,2,4,28,D-IV-28,29,MISANTLA,45007,45016,"C. DEL POCITO S/N ESQ. MANUEL RIVERA, COL. 20 DE NOVIEMBRE",93828,MISANTLA,VERACRUZ
111,4,2,4,08,D-IV-08,29,MARTINEZ DE LA TORRE,45009,46105,C. RIO BOBOS #109 VOL. EL MIRADOR,93600,MARTINEZ DE LA TORRE,VERACRUZ
112,6,2,4,05,D-IV-05,29,SOLEDAD DE DOBLADO,45009,46105,FRANCISCO JAVIER MINA S/N,94244,SOLEDAD DE DOBLADO,VERACRUZ
113,10,2,4,03,D-IV-03,29,SAN ANDRES TUXTLA,45009,46105,DR. ARTIAGAS #297,95700,SAN ANDRES TUXTLA,VERACRUZ
114,10,2,4,26,D-IV-26,29,ISLA,44973,46069,"CALLE  GUADALUPE VICTORIA  S/N , COL. CENTRO.",95641,ISLA,VERACRUZ
115,9,2,4,06,D-IV-06,29,COSAMALOAPAN,44965,46061,AV. MANUEL CARPIO 402,95400,COSAMALOAPAN,VERACRUZ
116,8,2,4,32,D-IV-32,29,ZONGOLICA,44970,46066,PROLONGACIÓN DE BENITO JUÁREZ S/N.,95000,ZONGOLICA,VERACRUZ
117,8,2,4,07,D-IV-07,29,ORIZABA,44967,46063,SUR 6 NO. 631,94300,ORIZABA,VERACRUZ
118,5,2,4,17,D-IV-17,29,COATEPEC,44964,46060,JUAN SOTO #88 COL. CENTRO,91500,COATEPEC,VERACRUZ
119,7,2,4,16,D-IV-16,29,CORDOBA,44965,46061,AV. SAN MARCIAL NO. 42 COL. SANTA LETICIA,94476,FORTIN,VERACRUZ
120,9,2,4,21,D-IV-21,29,ALVARADO,44964,45695,PARQUE 15 DE OCTUBRE # 1,95270,ALVARADO,VERACRUZ
121,5,2,4,02,D-IV-02,29,XALAPA,44970,46066,XANATI 82. COL MARCO ANTONIO MUÑOZ,91060,XALAPA,VERACRUZ
