id,region_id,tipo_delegacion_id,nomenclatura_id,num_delegacional,clave_delegacion,nivel_id,sede_delegacional,fecha_inicio_delegacional,fecha_final_delegacional,direccion_delegacional,cp_delegacional,ciudad_delegacional,estado_delegacional
122,1,2,4,13,D-IV-13,29,TANTOYUCA,44970,46066,"CALLE LAS FLORES #55, COL. RUIZ CORTINES",92123,TANTOYUCA,VERACRUZ
123,4,3,5,05,C.T.05,25,MISANTLA,44971,46067,KM. 2.5 CARRETERA MISANTLA- MARTÍNEZ. COLONIA MARCO ANTONIO MUÑOZ T.,93820,MISANTLA,VERACRUZ
124,5,3,5,23,C.T.23,12,XALAPA,44968,45699,ESC BACH. MAESTRO JOAQUIN RAMIEZ MIXTO MARIA ENRIQUETA  3,91500,COATEPEC,VERACRUZ
125,4,3,5,09,C.T.09,36,SAN RAFAEL,44971,46067,"AV. JUAN DE DIOS PEZA, ESQ. DOROTEO ARANGO, COL. 13 DE DICIEMBRE.",93620,SAN RAFAEL,VERACRUZ
126,8,3,5,13,C.T.13,36,CIUDAD MENDOZA,44967,46063,CALLE JUSTO SIERRA SIN NÚMERO,94744,CAMERINO Z. MENDOZA,VERACRUZ
127,4,3,5,29,C.T.29,6,MARTINEZ DE LA TORRE,44971,46067,BOULEVARD RAFAEL MARTINEZ DE LA TORRE S/N COL EJIDAL,93600,MARTINEZ DE LA TORRE,VERACRUZ
128,10,3,5,36,C.T.36,37,SANTIAGO TUXTLA,44967,46063,PROLONGACIÓN PRIMERO DE MAYO S/N COL. PENJAMO,95830,SANTIAGO TUXTLA,VERACRUZ
129,5,3,5,20,C.T.20,5,XALAPA,44968,46064,AV. RUIZ CORTINAS 2901,91010,XALAPA,VERACRUZ
130,5,3,5,03,C.T.03,13,XALAPA,44968,46064,JOSE MA.PINO SUAREZ 4 COL. CENTRO,91000,XALAPA ENRIQUEZ,VERACRUZ
131,5,3,5,21,C.T.21,9,XALAPA,44968,46064,"CIRCUITO GONZALO AGUIRRE BELTRAN, LOMAS DEL ESTADIO.",91000,XALAPA,VERACRUZ
132,8,3,5,14,C.T.14,6,ORIZABA,44967,46063,NORTE 4 NO. 4 ENTRE AV. COLÓN Y ORIENTE 3,94300,ORIZABA,VERACRUZ
133,6,3,5,10,C.T.10,36,SOLEDAD DE DOBLADO,44965,46061,VICENTE GUERRERO #105,94240,SOLEDAD DE DOBLADO,VERACRUZ
134,8,3,5,40,C.T.40,39,ZONGOLICA,44973,46068,CALLE BENITO JUÁREZ S/N,0,ZONGOLICA,VERACRUZ
135,6,3,5,32,C.T.32,36,CARDEL,44966,45697,EMILIANO ZAPATA 15,91680,JOSÉ CARDEL,VERACRUZ
136,1,3,5,07,C.T.07,36,IXCATEPEC,44966,45697,ART. 3° CON FCO. P. MARIEL 2A SECCION,92270,IXCATEPEC,VERACRUZ
137,6,3,5,31,C.T.31,42,VERACRUZ,44968,46064,"CALLE BAHAMAS NÚM. 2222 PASEO FLORESTA ORIENTE HAITÍ, COL. LAS ANTILLAS,(ESC. SEC. TÉC. NO. 123)",91940,VERACRUZ,VERACRUZ
138,5,3,5,33,C.T.33,33,XALAPA,44965,46060,BLVD. CULTURAS VERACRUZANAS 752,91010,XALAPA,VERACRUZ
139,5,1,2,55,D-II-55,39,XALAPA,45600,46694,"CALLE GOBERNADOR EMPARAN NO. 55, ESQUINA PRIMAVERA, COL. TATAHUICAPAN",91060,XALAPA,VERACRUZ
140,5,3,5,24,C.T.24,17,XALAPA,44964,46060,CALLE RÍO TECOLUTLA #33 COL. CUAUHTÉMOC,91069,XALAPA,VERACRUZ
141,11,1,1,28,D-I-28,35,JESUS CARRANZA,44972,46068,HIDALGO SUR 23-B,96150,SAYULA DE ALEMSN,VERACRUZ
142,11,1,1,02,D-I-02,35,ACAYUCAN,44972,46068,AV.MIGUEL HIDALGO 1710      BARRIO LA PALMA,96056,ACAYUCAN,VERACRUZ
143,3,1,2,25,D-II-25,39,ESPINAL,45744,46099,ESPINAL S/N,93180,ESPINAL,VERACRUZ
144,11,1,1,31,D-I-31,27,MINATITLAN,44971,46067,COLONIA CUALIPAN,96710,MINATITLAN,VERACRUZ
145,11,1,1,17,D-I-17,35,COSOLEACAQUE,44972,46068,QUETZALCOATL # 2 CONJUNTO HABITACIONAL CUALIPAN,96734,MINATITLAN,VERACRUZ
146,3,1,1,26,D-I-26,35,IXHUATLAN DE MADERO,44965,46061,16 DE SEPTIEMBRE S/N BARRIO POCHOCO,92680,IXHUATLAN DE MADERO,VERACRUZ
147,1,1,2,01,D-II-01,32,ACECECA,44972,46068,CARRETERA PLATÓN SANCHEZ SIN NÚMERO,0,TANTOYUCA,VERACRUZ
148,3,1,2,54,D-II-54,40,ALAMO,45334,46083,"FELIPE ÁNGELES, COLONIA AVIACIóN",92730,ÁLAMO TEMAPACHE,VERACRUZ
149,11,1,1,01,D-I-01,35,ACAYUCAN,44970,46066,RAMÓN CORONA,96290,JÁLTIPAN,VERACRUZ
150,3,1,1,83,D-I-83,34,POZA RICA,44966,46062,NARCISO MENDOZA  COL TAJIN,93310,POZA RICA DE HGO VERACRUZ,VERACRUZ
151,7,1,3,21,D-III-21,19,HUATUSCO,44972,46068,ESCUELA PRIMARIA MATUTINA NICOLÁS BRAVO. CALLE GRAL. NICOLÁS BRAVO # 41. COLONIA CENTRO.,94100,COSCOMATEPEC,VERACRUZ
152,7,1,1,22,D-I-22,35,FORTIN,44965,44965,PRIVADA 2A NORTE DEL CENTRO DE FORTIN,0,FORTIN,VERACRUZ
153,11,1,1,86,D-I-86,18,ACAYUCAN,44973,46069,SIN DIRECCION,96010,ACAYUCAN,VERACRUZ
154,3,1,1,69,D-I-69,35,TIHUATLAN,44964,46062,MAESTROS VERACRUZANOS S/N COL. MAGISTERIAL,92900,TIHUATLAN,VERACRUZ
155,7,1,1,16,D-I-16,35,COSCOMATEPEC,44964,46060,CALLE REFORMA S/N ( 1RA. PRIVADA ),94140,COSCOMATEPEC,VERACRUZ
156,3,1,2,47,D-II-47,39,PAPANTLA,44965,46061,SALIDA A LA CONCHA # 309. COLONIA 10 DE ABRIL.,93429,PAPANTLA,VERACRUZ
157,3,1,3,12,D-III-12,19,POZA RICA,44971,46067,"LAS FLORES 124, COLONIA SANTA EMILIA",93210,POZA RICA DE HIDALGO,VERACRUZ
158,11,1,2,44,D-II-44,39,ACAYUCAN,44971,46066,ESFUERZO 8,96250,JALTIPAN,VERACRUZ
159,11,1,2,52,D-II-52,40,COATZACOALCOS,44972,46068,5 DE FEBRERO #67 COLONIA SANTA CLARA,96730,MINATITLAN,VERACRUZ
160,11,1,2,23,D-II-23,36,COATZACOALCOS,44972,46068,AND. KUMIAI 6. COL. FOVISSSTE 2,96537,COATZACOALCOS,VERACRUZ
161,3,1,1,24,D-I-24,35,HUAYACOCOTLA,44966,46062,CALLE CAMPO DEPORTIVO LAZARO CÁRDENAS,92600,HUAYACOCOTLA,VERACRUZ
162,3,1,1,40,D-I-40,35,PAPANTLA,44964,46060,SALVADOR DÍAZ MIRÓN CON CALLE CARRIL,93400,PAPANTLA,VERACRUZ
163,3,1,1,21,D-I-21,35,ESPINAL,44964,46060,CALLE PROGRESO S/N COLONIA CENTRO,93180,ESPINAL,VERACRUZ
164,3,1,1,85,D-I-85,34,PAPANTLA,44966,46062,SALVADOR DÍAZ MIRÓN ESQUINA CARRIL,93400,PAPANTLA,VERACRUZ
165,3,1,1,46,D-I-46,35,POZA RICA,44971,46067,NARCISO MENDOZA 112 COLONIA TAJIN,93330,POZA RICA,VERACRUZ
166,3,1,1,67,D-I-67,35,GUTIERREZ ZAMORA,44966,46062,"CALLE ABASOLO  #44, COL. CENTRO",93556,GUTIÉRREZ ZAMORA,VERACRUZ
167,11,1,1,12,D-I-12,27,COATZACOALCOS,44974,46070,JUAN ALVAREZ MOD. O DPTO. 102 PLAYA SOL,96518,COATZACOALCOS VERACRUZ,VERACRUZ
168,3,1,2,41,D-II-41,40,POZA RICA,44964,46060,NARCISO MENDOZA #112 COL. TAJIN,93330,POZA RICA DE HIDALGO,VERACRUZ
169,3,1,2,19,D-II-19,39,ALAMO,44964,46060,CALLE TALLERES COLONIA TALLERES,92730,ÁLAMO TEMAPACHE,VERACRUZ
170,11,1,1,49,D-I-49,35,SAYULA DE ALEMAN,44971,46067,HIDALGO NORTE S/N,96150,SAYULA DE ALEMAN,VERACRUZ
171,11,1,1,59,D-I-59,34,ACAYUCAN,44974,46070,PROLONGACION LERDO #109 INTERIOR ENTRE LAS FLORES Y VAZQUEZ GOMEZ COL. VILLALTA,9026,ACAYUCAN,VERACRUZ
172,11,1,2,45,D-II-45,39,COATZACOALCOS,44972,46068,CUAUHTÉMOC 608,96400,COATZACOALCOS,VERACRUZ
173,11,1,3,22,D-III-22,19,COATZACOALCOS,44974,46070,LUCAS ALAMAN 1000-4 COL. BENITO JUAREZ NORTE,96576,COATZACOALCOS,VERACRUZ
174,11,1,1,32,D-I-32,30,MINATITLAN,44971,46067,QUETZALCOATL #2,96729,CUALIPAN,VERACRUZ
175,1,1,1,18,D-I-18,35,CHICONTEPEC,44972,46068,LIBERTAD S/N,92700,CHICONTEPEC,VERACRUZ
176,3,1,2,57,D-II-57,39,HUAYACOCOTLA,44966,46062,CALLE LAZARO CARDENAS A UN LADO DEL DEPORTIVO,92600,"HUAYACOCOTLA,VER.",VERACRUZ
177,7,1,1,76,D-I-76,35,TOTUTLA,44964,46062,AV. VENUSTIANO CARRANZA,94050,TOTUTLA,VERACRUZ
178,7,1,1,42,D-I-42,35,PASO DEL MACHO,44965,46061,"AV. PASO DEL MACHO S/N,  FRACCIONAMIENTO MORENO",94970,PASO DEL MACHO,VERACRUZ
179,9,1,1,15,D-I-15,35,COSAMALOAPAN,44967,45698,"NICOLAS BRAVO NUMERO 1002, ENTRE DEMETRIO CAZARIN Y LAS CONCHAS, COLONIA CENTRO",95400,COSAMALOAPAN,VERACRUZ
180,9,1,3,02,D-III-02,19,TIERRA BLANCA,44974,46070,MORELOS ESQUINA AGRARISTA COLONIA HOJA DE MAÍZ,95110,TIERRA BLANCA,VERACRUZ
181,2,2,4,12,D-IV-12,29,NARANJOS,44970,45701,"BENITO JUÁREZ 855, COL. PROGRESO",92380,NARANJOS,VERACRUZ
182,11,2,4,25,D-IV-25,29,MINATITLAN,44974,46070,"QUETZALCÓATL #2, UH. CUALIPAN, COL. NUEVA MINA",96760,MINATITLAN,VERACRUZ
183,11,2,4,19,D-IV-19,29,COATZACOALCOS,44972,46068,"AZAHARES 32, ESQUINA CON JACARANDAS, FOVISSSTE 3",96558,COATZACOALCOS,VERACRUZ
184,3,2,4,10,D-IV-10,29,POZA RICA,44973,44973,NARCISO MENDOZA NO. 112  COL. TAJÍN,93330,POZA RICA,VERACRUZ
185,3,2,4,31,D-IV-31,29,TIHUATLAN,44965,45696,MAESTROS VERACRUZANOS  ESQ. RAFAEL ARREOLA S/N,92900,TIHUATALA,VERACRUZ
186,3,2,4,15,D-IV-15,29,PAPANTLA,44965,46059,"CALLE SALVADOR DÍAZ MIRÓN, ESQUINA DE CARRIL",93400,PAPANTLA,VERACRUZ
187,3,3,5,01,C.T.01,6,PAPANTLA,44967,45698,CENTENARIO #100,93400,PAPANTLA,VERACRUZ
188,11,3,5,30,C.T.30,37,MINATITLÁN,44973,46069,"AV. CONSTITUCIÓN S/N, COL 20 DE NOVIEMBRE",96739,MINATITLÁN,VERACRUZ
189,11,3,5,25,C.T.25,19,ACAYUCAN,44973,46069,"SAN FELIPE DE JESUS 102, FRACCIONAMIENTO SANTA CRUZ",96173,SOCONUSCO,VERACRUZ
190,11,3,5,26,C.T.26,21,ACAYUCAN,44973,46069,OCAMPO SUR # 56,96049,ACAYUCAN,VERACRUZ
228,2,3,5,08,C.T.08,42,TUXPAN,45007,46103,BLVD. MANUEL MAPLES ARCE S/N EJIDO LA CALZADA,92880,TUXPAN,VERACRUZ
237,2,2,4,36,D-IV-36,29,TAMIAHUA,44998,46094,"AV. CUAUTHEMOC #57, COL. DEL VALLE",92875,TUXPAN,VERACRUZ
238,5,1,1,62,D-I-62,27,XALAPA,45009,46106,BENITO JUÁREZ 13,91300,BANDERILLA,VERACRUZ
239,5,1,3,14,D-III-14,19,XALAPA,45009,46105,PRIVADA 18 DE JULIO 2,91140,XALAPA,VERACRUZ
240,5,1,2,02,D-II-02,10,XALAPA,45009,46105,ZONA UNIVERSITARIA,91000,XALAPA,VERACRUZ
241,5,1,3,09,D-III-09,3,XALAPA,45009,46105,XANATH #8 COLONIA ELECTRICISTAS,91060,XALAPA,VERACRUZ
242,5,1,2,56,D-II-56,8,XALAPA,45009,46105,CIRCUITO GONZALO AGUIRRE BELTRÁN S/N,91000,XALAPA,VERACRUZ
243,5,1,1,47,D-I-47,35,LAS VIGAS DE RAMIREZ,45009,46105,CALLE 2 DE ABRIL S/N COLONIA CENTRO,91330,LAS VIGAS DE RAMIREZ,VERACRUZ
245,9,1,3,07,D-III-07,19,ALVARADO,45009,46105,PARQUE 15 DE OCTUBRE S/N,95270,ALVARADO,VERACRUZ
253,6,1,2,05,D-II-05,39,VERACRUZ,45042,46138,CALLE RIO GRIJALVA #212B LAS VEGAS II,94297,BOCA DEL RIO,VERACRUZ
273,9,1,2,30,D-II-30,39,COSAMALOAPAN,45009,46105,PRIMERA PRIVADA 16 DE SEPTIEMBRE N. 114,95420,COSAMALOAPAN,VERACRUZ
274,1,2,4,23,D-IV-23,29,PANUCO,45077,46173,CALLE AYUNTAMIENTO,93998,PANUCO,VERACRUZ
276,11,1,1,82,D-I-82,34,MINATITLÁN,45420,45420,CONOCIDA,0,MINATITLÁN,VERACRUZ
277,7,3,5,02,C.T.02,36,HUATUSCO,45425,46520,EMPTY,0,HUATUSCO,VERACRUZ
280,1,1,2,18,D-II-18,39,CHICONTEPEC,45425,46520,EMPTY,0,CHICONTEPEC,VERACRUZ
281,3,1,1,04,D-I-04,35,ALAMO,45425,46520,EMPTY,0,ALAMO,VERACRUZ
282,10,1,3,19,D-III-19,19,SAN ANDRES TUXTLA,45425,46520,EMPTY,0,SAN ANDRES TUXTLA,VERACRUZ
284,6,3,5,17,C.T.17,41,VERACRUZ,45426,45426,EMPTY,0,VERACRUZ,VERACRUZ
285,6,1,2,40,D-II-40,40,VERACRUZ,45426,45426,EMPTY,0,VERACRUZ,VERACRUZ
286,6,1,2,49,D-II-49,36,VERACRUZ,45009,46105,ESCRITORES MEXICANOS S/N ESQUINA CERVANTES SAAVEDRA,91714,VERACRUZ,VERACRUZ
287,1,2,4,11,D-IV-11,29,TEMPOAL,45426,45426,EMPTY,0,TEMPOAL,VERACRUZ
288,1,2,4,22,D-IV-22,29,CHICONTEPEC,45426,45426,EMPTY,0,CHICONTEPEC,VERACRUZ
289,1,2,4,35,D-IV-35,29,PUEBLO VIEJO,45039,46135,PUEBLO VIEJO,92123,TANTOYUCA,VERACRUZ
290,1,2,4,37,D-IV-37,29,PLATON SANCHEZ,45426,45426,EMPTY,0,PLATON SANCHEZ,VERACRUZ
291,3,1,2,07,D-II-07,37,POZA RICA,45427,45427,EMPTY,0,POZA RICA,VERACRUZ
292,3,1,2,33,D-II-33,39,POZA RICA,45427,45427,EMPTY,0,POZA RICA,VERACRUZ
293,3,2,4,14,D-IV-14,29,ALAMO,45427,45427,"FELIPE ANGELES #123, COL. AVIACION",92730,ALAMO TEMAPACHE,VERACRUZ
294,3,2,4,24,D-IV-24,29,GUTIERREZ ZAMORA,45427,45427,EMPTY,0,GUTIERREZ ZAMORA,VERACRUZ
295,5,3,5,18,C.T.18,23,XALAPA,45427,45427,JUAN ESCUTIA 2,91000,XALAPA,VERACRUZ
296,6,3,5,06,C.T.06,6,CARDEL,44973,45714,CALLE JAZMIN ENTRE ROBLE Y CAOBA COL. VICENTE LOPEZ,91680,CARDEL,VERACRUZ
297,6,3,5,11,C.T.11,16,VERACRUZ,45427,45427,ESTEBAN MORALES COL. CENTRO,91700,VERACRUZ,VERACRUZ
298,6,3,5,15,C.T.15,11,VERACRUZ,45031,46127,"C. ESTEBAN MORALES NO. 490 CENTRO, VER.",91709,VERACRUZ,VERACRUZ
299,6,3,5,22,C.T.22,26,VERACRUZ,45427,45427,EMPTY,0,VERACRUZ,VERACRUZ
300,6,1,2,06,D-II-06,28,VERACRUZ,45427,45427,EMPTY,0,VERACRUZ,VERACRUZ
301,6,1,3,06,D-III-06,19,VERACRUZ,45427,45427,EMPTY,0,VERACRUZ,VERACRUZ
302,6,2,4,01,D-IV-01,29,VERACRUZ,45427,45427,EMPTY,0,VERACRUZ,VERACRUZ
303,6,2,4,27,D-IV-27,29,BOCA DEL RIO,45427,45420,EMPTY,0,BOCA DEL RIO,VERACRUZ
304,6,2,4,30,D-IV-30,29,PIEDRAS NEGRAS,45427,45427,EMPTY,0,PIEDRAS NEGRAS,VERACRUZ
305,8,1,1,27,D-I-27,35,IXTACZOQUITLAN,44966,45331,"NORTE 2, EDIFICIO PARROQUIA 2° PISO DEPT. 4, COL. CENTRO",94300,ORIZABA,VERACRUZ
306,8,1,2,36,D-II-36,37,ORIZABA,43658,44754,EMPTY,0,ORIZABA,VERACRUZ
307,8,1,3,10,D-III-10,19,CIUDAD MENDOZA,44966,46062,EMPTY,0,CIUDAD MENDOZA,VERACRUZ
308,8,2,4,04,D-IV-04,29,CIUDAD MENDOZA,44967,46063,EMPTY,0,CIUDAD MENDOZA,VERACRUZ
309,9,1,1,70,D-I-70,35,TRES VALLES,45009,46105,"ESC. PRIM. ""18 DE MARZO"" CALLE:  BENITO JUÁREZ #102",95300,TRES VALLES,VERACRUZ
310,9,1,2,08,D-II-08,37,COSAMALOAPAN,44965,46061,EMPTY,0,COSAMALOAPAN,VERACRUZ
311,9,1,3,20,D-III-20,19,COSAMALOAPAN,45008,46104,AV MANUEL CARPIO S/N,95400,COSAMALOAPAN DE CARPIO,VERACRUZ
312,9,2,4,29,D-IV-29,29,TIERRA BLANCA,45427,45427,EMPTY,0,TIERRA BLANCA,VERACRUZ
313,9,2,4,34,D-IV-34,29,TLACOTALPAN,44994,46090,AV 5 DE MAYO 89,95460,TLACOTALPAN,VERACRUZ
314,11,1,1,13,D-I-13,35,COATZACOALCOS,45014,46110,"ZARAGOZA 404 ALTOS, COL. CENTRO",96400,COATZACOALCOS,VERACRUZ
315,11,1,2,11,D-II-11,36,COATZACOALCOS,44715,45811,EMPTY,0,COATZACOALCOS,VERACRUZ
316,11,1,2,39,D-II-39,40,ACAYUCAN,45427,45427,EMPTY,0,ACAYUCAN,VERACRUZ
317,11,2,4,20,D-IV-20,29,ACAYUCAN,44971,46067,EMPTY,0,ACAYUCAN,VERACRUZ
318,6,1,1,50,D-I-50,35,SOLEDAD DE DOBLADO,45013,46109,"PROL. FRANCISCO JAVIER MINA, NO. 470. COL. LOS PINOS.",94244,SOLEDAD DE DOBLADO,VERACRUZ
332,6,1,1,73,D-I-73,35,PASO DE OVEJAS,45009,46104,PASO DE OVEJAS,91675,VERACRUZ,VERACRUZ
333,5,3,5,04,C.T.04,39,JACARANDAS,45600,47061,"CALLE 3, NO. 120. FRACC. CINCUENTENARIO",91639,"JACARANDAS, MPIO. E. ZAPATA",VERACRUZ
334,7,3,5,12,C.T.12,39,HUATUSCO,45593,46749,HUATUSCO,94100,HUATUSCO,VERACRUZ
335,7,3,5,16,C.T.16,39,CóRDOBA,45594,46689,AV. 23 CALLE 37 Y 39 # 3705 COLONIA LóPEZ ARIAS,94670,CóRDOBA,VERACRUZ
336,6,1,1,95,D-I-95,35,MANLIO FABIO ALTAMIRANO,45713,46808,MANLIO FABIO ALTAMIRANO,94250,VERACRUZ,VERACRUZ
